0	2022-11-22 22:42:11Z	Sorry, planned but not yet available
1	2022-11-19 21:11:02Z	Node identifier
2	2022-11-16 04:05:36Z	Tim Berners-Lee warned against "slugs" in the 90s
3	2022-11-19 17:15:49Z	Last changes index
4	2022-11-13 04:31:42Z	Beautiful simplicity of Luhmann's identifiers
5	2022-11-14 22:25:27Z	Aggregation and attribution
6	2022-11-17 23:35:36Z	AP style preferred
7	2022-11-14 22:57:56Z	Custom data
8	2022-11-04 20:26:39Z	Cypherpunk Manifesto
10	2022-11-19 21:11:49Z	Domain Model
11	2022-11-13 13:24:44Z	Dynamic nodes
12	2022-11-15 22:15:46Z	Enable good content creators
13	2022-11-13 16:46:46Z	KEG is for writers
14	2022-11-13 13:28:58Z	Formerly known as
15	2022-11-19 21:15:49Z	keg
16	2022-11-18 01:12:09Z	KEGMLX 10-rune fences and divisions
17	2022-11-17 22:21:42Z	Expanded KEGML (KEGMLX)
18	2022-11-17 22:22:17Z	Link
20	2022-11-17 22:24:08Z	ID vs title
21	2022-11-17 22:25:46Z	User
23	2022-11-14 17:18:53Z	HTML5 i Element
24	2022-11-17 22:26:41Z	Include link
25	2022-11-17 22:27:31Z	File include link
26	2022-11-19 16:33:18Z	Independent nodes
27	2022-11-15 22:21:46Z	Beacon span
28	2022-11-13 19:59:04Z	Motivation
29	2022-11-17 22:28:43Z	User schema
30	2022-11-17 22:53:07Z	Universal Resource Locator (URL)
31	2022-11-14 20:29:26Z	Software composition and aggregation
32	2022-11-14 20:30:13Z	Refactoring knowledge
35	2022-11-14 20:30:26Z	KEGMLX unlimited headings
36	2022-11-17 22:14:09Z	Referring to "keg" vs "KEG"
37	2022-11-14 20:32:23Z	Specification style and conventions
38	2022-11-18 00:33:04Z	Query code
39	2022-11-17 23:12:32Z	Node
40	2022-11-14 23:57:28Z	Footnote
41	2022-11-14 21:15:00Z	README.md
42	2022-11-17 23:23:41Z	KEGML differences from Markdown
43	2022-11-17 23:00:21Z	Graph data structure
45	2022-11-17 23:24:26Z	Division identifier
46	2022-10-31 10:19:02Z	KEG Public Key
48	2022-11-17 23:32:02Z	KEG Info File
49	2022-11-16 04:08:23Z	Second brain
50	2022-11-17 23:32:22Z	KEG Markup Language (KEGML)
51	2022-11-15 00:06:03Z	No Markdown reference links (except footnotes)
52	2022-11-17 23:33:02Z	Division block
55	2022-11-20 21:26:59Z	KEGML Specification in PEGN
57	2022-11-17 23:35:23Z	KEGML link differences from Markdown
58	2022-11-14 22:46:24Z	"It would be so much easier if everyone could read my database."
59	2022-11-14 22:46:34Z	Zero node
60	2022-11-13 12:47:17Z	Single line paragraphs promote better paragraph content
61	2022-11-13 14:51:57Z	Unlinked files
62	2022-11-15 16:24:08Z	Bold used for terminology
63	2022-11-14 22:47:33Z	KEG app
64	2022-11-19 20:22:58Z	Index node
66	2022-11-13 19:41:32Z	XKCD's Randall Munroe understand Web URLs
67	2022-11-14 22:52:48Z	Difference between follow/avoid in user and other kegs
68	2022-11-14 22:53:38Z	Content creator
69	2022-11-16 04:11:09Z	User keg
70	2022-11-14 22:58:07Z	Creator authentication and encryption
71	2022-11-14 10:23:31Z	Subscriptions with encrypt-sign authentication
72	2022-11-19 22:32:46Z	Optionally using bold for linking to terms
73	2022-11-14 11:48:50Z	Numbered lists restricted to 1.
74	2022-11-17 16:49:43Z	In KEGML, a URL must only appear in footnote as citation or list item
75	2022-11-14 22:58:41Z	KEGML element: inflect span
77	2022-11-17 23:41:24Z	Node include link
78	2022-11-17 23:43:12Z	Node reference
79	2022-11-18 00:02:12Z	Lede span
80	2022-11-14 19:44:54Z	Sentence case is preferred for titles
81	2022-11-18 00:05:57Z	Title span restrictions
82	2022-11-18 00:09:18Z	Meta matter
83	2022-11-17 03:04:40Z	"Front matter" was never actually front matter
84	2022-11-18 01:32:26Z	Isosec
85	2022-11-16 04:13:05Z	Contextual semantic difference for same KEGML markup syntax
86	2022-11-15 16:56:22Z	Only one heading per node README.md file
87	2022-11-14 23:14:59Z	No support for tab or carriage return
88	2022-11-14 23:47:58Z	Simplified YAML structured data
89	2022-11-18 00:33:41Z	Leave indexing up to apps and developers
90	2022-11-16 00:53:53Z	Publication, distribution, and exchange strategies
91	2022-11-16 04:13:28Z	Soft returns cause viewing and diff problems
92	2022-11-19 22:33:31Z	One beacon per term, per node
93	2022-11-15 13:48:54Z	Content path
94	2022-11-15 13:16:28Z	Citation
95	2022-11-15 13:22:55Z	URL
96	2022-11-15 13:37:20Z	Acronyms are terms with beacons and nodes
97	2022-11-15 17:19:44Z	Advantage of beacon terms over hyperlinks
99	2022-11-18 00:33:41Z	Beacon
100	2022-11-19 21:12:31Z	Rune
101	2022-11-19 21:14:17Z	Heavily inspired by "mind mapping" applications and "zettelkasten"
102	2022-11-17 22:19:38Z	Out of spec
103	2022-11-17 22:19:44Z	Simple quotes preferred
104	2022-11-19 21:14:57Z	Smart punctuation is not specified, but preferred
105	2022-11-17 01:05:24Z	Quote block limitations
107	2022-11-19 21:15:11Z	KEG Web
108	2022-11-17 22:32:43Z	Node update
109	2022-11-21 14:19:34Z	Differences between KEG and PKG?
110	2022-11-21 14:50:47Z	Search implementation suggestions
111	2022-11-21 14:59:00Z	Justifying content redundancy
112	2022-11-21 16:39:23Z	Why YAML for `keg` info file?
113	2022-11-21 19:40:34Z	Sample
114	2022-11-21 20:47:44Z	
116	2022-11-22 23:12:46Z	KEG apps don't have to implement the whole spec
